Trial,Accuracy (BBQ),Params
0,0.5494858611825193,"{'prompt_type': 'religion', 'num_sents': 500, 'items': 'respectful, derogatory', 'system_prompt': 'Pretend you are very ', 'coeff': 0.6000000000000001}"
1,0.5032133676092545,"{'prompt_type': 'gender', 'num_sents': 150, 'items': 'humanitarian, oppressive', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.0}"
2,0.49421593830334193,"{'prompt_type': 'religion', 'num_sents': 200, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.19999999999999996}"
3,0.5302056555269923,"{'prompt_type': 'religion', 'num_sents': 400, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
4,0.5032133676092545,"{'prompt_type': 'sexuality', 'num_sents': 500, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Pretend you are very ', 'coeff': 0.0}"
5,0.4241645244215938,"{'prompt_type': 'age', 'num_sents': 100, 'items': 'inclusive, bigoted', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.8000000000000003}"
6,0.4601542416452442,"{'prompt_type': 'age', 'num_sents': 250, 'items': 'inclusive, bigoted', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.6}"
7,0.48586118251928023,"{'prompt_type': 'sexuality', 'num_sents': 450, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': -0.3999999999999999}"
8,0.5681233933161953,"{'prompt_type': 'socioeconomic', 'num_sents': 200, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Pretend you are very ', 'coeff': 0.8000000000000003}"
9,0.20565552699228792,"{'prompt_type': 'socioeconomic', 'num_sents': 150, 'items': 'progressive, conservative', 'system_prompt': 'Pretend you are very ', 'coeff': -1.8}"
10,0.16388174807197944,"{'prompt_type': 'socioeconomic', 'num_sents': 350, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Pretend you are very ', 'coeff': -1.4}"
11,0.4697943444730077,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'respectful, derogatory', 'system_prompt': 'Pretend you are very ', 'coeff': 0.8000000000000003}"
12,0.5456298200514139,"{'prompt_type': 'race', 'num_sents': 300, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Pretend you are very ', 'coeff': 0.8000000000000003}"
13,0.4877892030848329,"{'prompt_type': 'generic', 'num_sents': 500, 'items': 'woke, racist and sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 0.6000000000000001}"
14,0.4646529562982005,"{'prompt_type': 'genericqa', 'num_sents': 250, 'items': 'respectful, derogatory', 'system_prompt': 'Pretend you are very ', 'coeff': -0.7999999999999998}"
15,0.3116966580976864,"{'prompt_type': 'disability', 'num_sents': 400, 'items': 'multicultural, xenophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.2000000000000002}"
16,0.5327763496143959,"{'prompt_type': 'religion', 'num_sents': 200, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': 0.40000000000000036}"
17,0.4993573264781491,"{'prompt_type': 'socioeconomic', 'num_sents': 100, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 2.0}"
18,0.506426735218509,"{'prompt_type': 'starters', 'num_sents': 350, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999}"
19,0.5719794344473008,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'respectful, derogatory', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.2000000000000002}"
20,0.41838046272493573,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'multicultural, xenophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.0}"
21,0.5244215938303342,"{'prompt_type': 'disability', 'num_sents': 200, 'items': 'respectful, derogatory', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.40000000000000036}"
22,0.11503856041131105,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'respectful, derogatory', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.2000000000000002}"
23,0.5051413881748072,"{'prompt_type': 'race', 'num_sents': 150, 'items': 'respectful, derogatory', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.40000000000000036}"
24,0.5302056555269923,"{'prompt_type': 'gender', 'num_sents': 300, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 1.4000000000000004}"
25,0.5668380462724936,"{'prompt_type': 'genericqa', 'num_sents': 250, 'items': 'liberal, authoritarian', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.8000000000000003}"
26,0.5822622107969152,"{'prompt_type': 'genericqa', 'num_sents': 250, 'items': 'liberal, authoritarian', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.0}"
27,0.34832904884318766,"{'prompt_type': 'genericqa', 'num_sents': 300, 'items': 'liberal, authoritarian', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 2.0}"
28,0.5880462724935732,"{'prompt_type': 'genericqa', 'num_sents': 200, 'items': 'progressive, conservative', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.6}"
29,0.5931876606683805,"{'prompt_type': 'genericqa', 'num_sents': 150, 'items': 'progressive, conservative', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.6}"
