Trial,Accuracy (BBQ),Params
0,0.30083333333333334,"{'prompt_type': 'race', 'num_sents': 250, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 0.0}"
1,0.19333333333333333,"{'prompt_type': 'gender', 'num_sents': 400, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.6}"
2,0.004166666666666667,"{'prompt_type': 'age', 'num_sents': 450, 'items': 'feminist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -2.0}"
3,0.27,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'multicultural, xenophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0}"
4,0.0,"{'prompt_type': 'race', 'num_sents': 400, 'items': 'liberal, authoritarian', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.4}"
5,0.31166666666666665,"{'prompt_type': 'sexuality', 'num_sents': 500, 'items': 'multicultural, xenophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.4}"
6,0.365,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.2}"
7,0.115,"{'prompt_type': 'genericqa', 'num_sents': 250, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Pretend you are very ', 'coeff': -1.6}"
8,0.2941666666666667,"{'prompt_type': 'generic', 'num_sents': 200, 'items': 'respectful, derogatory', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.6000000000000001}"
9,0.30333333333333334,"{'prompt_type': 'generic', 'num_sents': 150, 'items': 'progressive, conservative', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.2}"
10,0.3358333333333333,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999}"
11,0.3125,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.3999999999999999}"
12,0.3375,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999}"
13,0.2875,"{'prompt_type': 'disability', 'num_sents': 100, 'items': 'inclusive, bigoted', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.6000000000000001}"
14,0.28833333333333333,"{'prompt_type': 'religion', 'num_sents': 300, 'items': 'accepting, prejudiced', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.7999999999999998}"
15,0.3075,"{'prompt_type': 'socioeconomic', 'num_sents': 350, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.20000000000000018}"
16,0.016666666666666666,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
17,0.30833333333333335,"{'prompt_type': 'disability', 'num_sents': 500, 'items': 'progressive, conservative', 'system_prompt': 'Pretend you are very ', 'coeff': -0.7999999999999998}"
18,0.015833333333333335,"{'prompt_type': 'gender', 'num_sents': 400, 'items': 'humanitarian, oppressive', 'system_prompt': 'Act as if you are extremely ', 'coeff': -2.0}"
19,0.30583333333333335,"{'prompt_type': 'sexuality', 'num_sents': 200, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.19999999999999996}"
20,0.22,"{'prompt_type': 'age', 'num_sents': 300, 'items': 'inclusive, bigoted', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.0}"
21,0.33666666666666667,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999}"
22,0.2991666666666667,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.20000000000000018}"
23,0.31166666666666665,"{'prompt_type': 'disability', 'num_sents': 450, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.3999999999999999}"
24,0.27416666666666667,"{'prompt_type': 'socioeconomic', 'num_sents': 300, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.0}"
25,0.275,"{'prompt_type': 'religion', 'num_sents': 400, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': -0.5999999999999999}"
26,0.2966666666666667,"{'prompt_type': 'genericqa', 'num_sents': 450, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.8000000000000003}"
27,0.2775,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'accepting, prejudiced', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
28,0.2966666666666667,"{'prompt_type': 'disability', 'num_sents': 200, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.19999999999999996}"
29,0.30083333333333334,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Pretend you are very ', 'coeff': 0.0}"
30,0.26,"{'prompt_type': 'race', 'num_sents': 300, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.0}"
31,0.3375,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999}"
32,0.3383333333333333,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999}"
33,0.21666666666666667,"{'prompt_type': 'disability', 'num_sents': 400, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.6}"
34,0.30083333333333334,"{'prompt_type': 'gender', 'num_sents': 250, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.0}"
35,0.049166666666666664,"{'prompt_type': 'age', 'num_sents': 400, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.2}"
36,0.31583333333333335,"{'prompt_type': 'starters', 'num_sents': 350, 'items': 'progressive, conservative', 'system_prompt': 'Pretend you are very ', 'coeff': -0.3999999999999999}"
37,0.32166666666666666,"{'prompt_type': 'disability', 'num_sents': 450, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.4}"
38,0.0,"{'prompt_type': 'race', 'num_sents': 250, 'items': 'multicultural, xenophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.8}"
39,0.29833333333333334,"{'prompt_type': 'genericqa', 'num_sents': 300, 'items': 'progressive, conservative', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.2}"
40,0.30416666666666664,"{'prompt_type': 'generic', 'num_sents': 400, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.7999999999999998}"
41,0.3375,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999}"
42,0.3025,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.19999999999999996}"
43,0.3225,"{'prompt_type': 'sexuality', 'num_sents': 350, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999}"
44,0.3225,"{'prompt_type': 'disability', 'num_sents': 400, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.7999999999999998}"
45,0.30583333333333335,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'progressive, conservative', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.20000000000000018}"
46,0.30083333333333334,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.3999999999999999}"
47,0.04833333333333333,"{'prompt_type': 'religion', 'num_sents': 350, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.4}"
48,0.31666666666666665,"{'prompt_type': 'socioeconomic', 'num_sents': 400, 'items': 'progressive, conservative', 'system_prompt': 'Pretend you are very ', 'coeff': -1.2}"
49,0.029166666666666667,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'multicultural, xenophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.0}"
6,0.365,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.2}"
