Trial,Accuracy (BBQ),Params
0,0.68811706629055,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.3999999999999999, 'start_layer': -4, 'end_layer': -17}"
1,0.39721438645980256,"{'prompt_type': 'generic', 'num_sents': 300, 'items': 'feminist, sexist', 'system_prompt': 'Imagine you are very ', 'coeff': 1.2000000000000002, 'start_layer': -5, 'end_layer': -17}"
2,0.4545133991537377,"{'prompt_type': 'gender', 'num_sents': 200, 'items': 'not sexist, sexist', 'system_prompt': 'Imagine you are very ', 'coeff': 1.6, 'start_layer': -4, 'end_layer': -18}"
3,0.67524682651622,"{'prompt_type': 'gender', 'num_sents': 350, 'items': 'not sexist, sexist', 'system_prompt': 'Pretend you are really ', 'coeff': 1.4000000000000004, 'start_layer': -3, 'end_layer': -17}"
4,0.6763046544428772,"{'prompt_type': 'gender', 'num_sents': 300, 'items': 'feminist, sexist', 'system_prompt': 'Imagine you are very ', 'coeff': -1.4, 'start_layer': -1, 'end_layer': -14}"
5,0.6590267983074753,"{'prompt_type': 'gender', 'num_sents': 400, 'items': 'feminist, sexist', 'system_prompt': 'Imagine you are very ', 'coeff': 0.20000000000000018, 'start_layer': -2, 'end_layer': -10}"
6,0.6555007052186178,"{'prompt_type': 'gender', 'num_sents': 400, 'items': 'feminist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.2, 'start_layer': -5, 'end_layer': -7}"
7,0.6581452750352609,"{'prompt_type': 'starters', 'num_sents': 350, 'items': 'feminist, anti-feminist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.20000000000000018, 'start_layer': -5, 'end_layer': -11}"
8,0.6745416078984485,"{'prompt_type': 'starters', 'num_sents': 350, 'items': 'feminist, anti-feminist', 'system_prompt': 'Imagine you are very ', 'coeff': -0.19999999999999996, 'start_layer': -5, 'end_layer': -16}"
9,0.668194640338505,"{'prompt_type': 'gender', 'num_sents': 250, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are really ', 'coeff': 0.20000000000000018, 'start_layer': -5, 'end_layer': -17}"
10,0.6708392101551481,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.7999999999999998, 'start_layer': -3, 'end_layer': -14}"
11,0.7071579689703809,"{'prompt_type': 'generic', 'num_sents': 500, 'items': 'feminist, a woman hater', 'system_prompt': 'Act as if you are extremely ', 'coeff': -2.0, 'start_layer': -1, 'end_layer': -14}"
12,0.7073342736248237,"{'prompt_type': 'generic', 'num_sents': 500, 'items': 'feminist, a woman hater', 'system_prompt': 'Act as if you are extremely ', 'coeff': -2.0, 'start_layer': -1, 'end_layer': -14}"
13,0.5915021156558533,"{'prompt_type': 'generic', 'num_sents': 500, 'items': 'feminist, a woman hater', 'system_prompt': 'Act as if you are extremely ', 'coeff': -2.0, 'start_layer': -1, 'end_layer': -13}"
14,0.6304654442877292,"{'prompt_type': 'generic', 'num_sents': 500, 'items': 'feminist, a woman hater', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.8, 'start_layer': -2, 'end_layer': -10}"
15,0.5858603667136812,"{'prompt_type': 'generic', 'num_sents': 450, 'items': 'feminist, a woman hater', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.4, 'start_layer': -2, 'end_layer': -15}"
16,0.6082510578279267,"{'prompt_type': 'generic', 'num_sents': 450, 'items': 'feminist, a woman hater', 'system_prompt': 'Act as if you are extremely ', 'coeff': -2.0, 'start_layer': -1, 'end_layer': -12}"
17,0.6595557122708039,"{'prompt_type': 'generic', 'num_sents': 500, 'items': 'feminist, a woman hater', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.8000000000000003, 'start_layer': -1, 'end_layer': -8}"
18,0.6521509167842031,"{'prompt_type': 'generic', 'num_sents': 450, 'items': 'feminist, a woman hater', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.7999999999999998, 'start_layer': -2, 'end_layer': -13}"
19,0.5481311706629055,"{'prompt_type': 'generic', 'num_sents': 200, 'items': 'feminist, a woman hater', 'system_prompt': 'Pretend you are really ', 'coeff': -1.6, 'start_layer': -1, 'end_layer': -15}"
20,0.5992595204513399,"{'prompt_type': 'generic', 'num_sents': 400, 'items': 'feminist, a woman hater', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.0, 'start_layer': -2, 'end_layer': -12}"
21,0.6715444287729196,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.3999999999999999, 'start_layer': -4, 'end_layer': -15}"
22,0.7161495063469676,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999, 'start_layer': -4, 'end_layer': -18}"
23,0.5766925246826516,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0, 'start_layer': -3, 'end_layer': -18}"
24,0.627820874471086,"{'prompt_type': 'generic', 'num_sents': 150, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.6, 'start_layer': -4, 'end_layer': -14}"
25,0.6179478138222849,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'feminist, anti-feminist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -2.0, 'start_layer': -1, 'end_layer': -9}"
26,0.6620239774330042,"{'prompt_type': 'generic', 'num_sents': 450, 'items': 'not sexist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.6000000000000001, 'start_layer': -3, 'end_layer': -6}"
27,0.6636107193229901,"{'prompt_type': 'starters', 'num_sents': 500, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.0, 'start_layer': -4, 'end_layer': -16}"
28,0.6488011283497884,"{'prompt_type': 'generic', 'num_sents': 150, 'items': 'feminist, a woman hater', 'system_prompt': 'Pretend you are really ', 'coeff': -0.5999999999999999, 'start_layer': -2, 'end_layer': -13}"
29,0.6639633286318759,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.6, 'start_layer': -3, 'end_layer': -16}"
30,0.5939703808180536,"{'prompt_type': 'generic', 'num_sents': 250, 'items': 'feminist, a woman hater', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.2, 'start_layer': -1, 'end_layer': -11}"
31,0.6729548660084627,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.19999999999999996, 'start_layer': -4, 'end_layer': -17}"
32,0.6177715091678421,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.8000000000000003, 'start_layer': -4, 'end_layer': -18}"
33,0.6688998589562765,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'not sexist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999, 'start_layer': -4, 'end_layer': -18}"
34,0.6567348377997179,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'love women, hate women', 'system_prompt': 'Imagine you are very ', 'coeff': -0.19999999999999996, 'start_layer': -3, 'end_layer': -17}"
35,0.5869181946403385,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'not sexist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.8, 'start_layer': -4, 'end_layer': -16}"
36,0.6750705218617772,"{'prompt_type': 'gender', 'num_sents': 350, 'items': 'love women, hate women', 'system_prompt': 'Pretend you are really ', 'coeff': 1.2000000000000002, 'start_layer': -5, 'end_layer': -14}"
37,0.46491537376586745,"{'prompt_type': 'generic', 'num_sents': 400, 'items': 'feminist, sexist', 'system_prompt': 'Imagine you are very ', 'coeff': -1.4, 'start_layer': -1, 'end_layer': -17}"
38,0.6373413258110014,"{'prompt_type': 'gender', 'num_sents': 150, 'items': 'feminist, anti-feminist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.40000000000000036, 'start_layer': -4, 'end_layer': -15}"
39,0.6622002820874471,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'feminist, a woman hater', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.0, 'start_layer': -2, 'end_layer': -18}"
40,0.6611424541607899,"{'prompt_type': 'gender', 'num_sents': 450, 'items': 'love women, hate women', 'system_prompt': 'Imagine you are very ', 'coeff': -1.2, 'start_layer': -5, 'end_layer': -12}"
41,0.6754231311706629,"{'prompt_type': 'gender', 'num_sents': 350, 'items': 'feminist, sexist', 'system_prompt': 'Imagine you are very ', 'coeff': -1.4, 'start_layer': -1, 'end_layer': -14}"
42,0.67524682651622,"{'prompt_type': 'gender', 'num_sents': 100, 'items': 'feminist, sexist', 'system_prompt': 'Imagine you are very ', 'coeff': -1.8, 'start_layer': -1, 'end_layer': -13}"
43,0.6068406205923836,"{'prompt_type': 'gender', 'num_sents': 500, 'items': 'feminist, sexist', 'system_prompt': 'Imagine you are very ', 'coeff': -2.0, 'start_layer': -1, 'end_layer': -16}"
44,0.6688998589562765,"{'prompt_type': 'gender', 'num_sents': 400, 'items': 'feminist, sexist', 'system_prompt': 'Imagine you are very ', 'coeff': -1.0, 'start_layer': -2, 'end_layer': -11}"
45,0.6674894217207334,"{'prompt_type': 'generic', 'num_sents': 200, 'items': 'feminist, anti-feminist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999, 'start_layer': -3, 'end_layer': -15}"
46,0.610719322990127,"{'prompt_type': 'gender', 'num_sents': 250, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.6, 'start_layer': -1, 'end_layer': -17}"
47,0.45557122708039494,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'feminist, a woman hater', 'system_prompt': 'Pretend you are really ', 'coeff': -1.8, 'start_layer': -5, 'end_layer': -14}"
48,0.6022566995768688,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'feminist, a woman hater', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.7999999999999998, 'start_layer': -2, 'end_layer': -13}"
49,0.6622002820874471,"{'prompt_type': 'generic', 'num_sents': 500, 'items': 'not sexist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.0, 'start_layer': -1, 'end_layer': -15}"
