Trial,Accuracy (BBQ),Params
0,0.41623376623376623,"{'prompt_type': 'sexuality', 'num_sents': 150, 'items': 'liberal, authoritarian', 'system_prompt': 'Pretend you are very ', 'coeff': 2.0}"
1,0.7392857142857143,"{'prompt_type': 'race', 'num_sents': 100, 'items': 'liberal, authoritarian', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.7999999999999998}"
2,0.7571428571428571,"{'prompt_type': 'generic', 'num_sents': 250, 'items': 'liberal, authoritarian', 'system_prompt': 'Pretend you are very ', 'coeff': -1.2}"
3,0.6691558441558442,"{'prompt_type': 'socioeconomic', 'num_sents': 400, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.4}"
4,0.5863636363636363,"{'prompt_type': 'generic', 'num_sents': 300, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 0.8000000000000003}"
5,0.7016233766233766,"{'prompt_type': 'race', 'num_sents': 350, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.0}"
6,0.7659090909090909,"{'prompt_type': 'gender', 'num_sents': 150, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.19999999999999996}"
7,0.7051948051948052,"{'prompt_type': 'socioeconomic', 'num_sents': 300, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.4000000000000004}"
8,0.7633116883116883,"{'prompt_type': 'sexuality', 'num_sents': 300, 'items': 'accepting, prejudiced', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.40000000000000036}"
9,0.7805194805194805,"{'prompt_type': 'sexuality', 'num_sents': 400, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
10,0.31493506493506496,"{'prompt_type': 'genericqa', 'num_sents': 500, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': -2.0}"
11,0.7623376623376623,"{'prompt_type': 'gender', 'num_sents': 450, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.19999999999999996}"
12,0.7584415584415585,"{'prompt_type': 'gender', 'num_sents': 200, 'items': 'inclusive, bigoted', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.20000000000000018}"
13,0.7753246753246753,"{'prompt_type': 'age', 'num_sents': 100, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.3999999999999999}"
14,0.6084415584415584,"{'prompt_type': 'age', 'num_sents': 400, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0}"
15,0.7626623376623377,"{'prompt_type': 'starters', 'num_sents': 500, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.7999999999999998}"
16,0.6724025974025974,"{'prompt_type': 'age', 'num_sents': 400, 'items': 'multicultural, xenophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
17,0.7386363636363636,"{'prompt_type': 'religion', 'num_sents': 100, 'items': 'humanitarian, oppressive', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999}"
18,0.7766233766233767,"{'prompt_type': 'disability', 'num_sents': 200, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.8000000000000003}"
19,0.7866883116883117,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.6000000000000001}"
20,0.6538961038961039,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
21,0.7866883116883117,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.6000000000000001}"
22,0.7798701298701298,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.40000000000000036}"
23,0.800974025974026,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
24,0.7866883116883117,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.6000000000000001}"
25,0.7675324675324675,"{'prompt_type': 'disability', 'num_sents': 200, 'items': 'progressive, conservative', 'system_prompt': 'Pretend you are very ', 'coeff': 0.20000000000000018}"
26,0.8061688311688312,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
27,0.799025974025974,"{'prompt_type': 'disability', 'num_sents': 150, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.8000000000000003}"
28,0.7071428571428572,"{'prompt_type': 'genericqa', 'num_sents': 150, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.8000000000000003}"
29,0.6324675324675325,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'multicultural, xenophobic', 'system_prompt': 'Pretend you are very ', 'coeff': 1.8000000000000003}"
30,0.8172077922077922,"{'prompt_type': 'religion', 'num_sents': 150, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0}"
31,0.8172077922077922,"{'prompt_type': 'religion', 'num_sents': 150, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0}"
32,0.7730519480519481,"{'prompt_type': 'religion', 'num_sents': 100, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
33,0.8175324675324676,"{'prompt_type': 'religion', 'num_sents': 150, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0}"
34,0.6779220779220779,"{'prompt_type': 'religion', 'num_sents': 150, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Pretend you are very ', 'coeff': 2.0}"
35,0.7996753246753247,"{'prompt_type': 'religion', 'num_sents': 150, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
36,0.7308441558441559,"{'prompt_type': 'religion', 'num_sents': 100, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Pretend you are very ', 'coeff': 1.6}"
