Trial,Accuracy (BBQ),Params
0,0.7625,"{'prompt_type': 'age', 'num_sents': 350, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.8}"
1,0.7583333333333333,"{'prompt_type': 'age', 'num_sents': 250, 'items': 'accepting, prejudiced', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.8}"
2,0.7583333333333333,"{'prompt_type': 'genericqa', 'num_sents': 250, 'items': 'woke, racist and sexist', 'system_prompt': 'Pretend you are very ', 'coeff': -1.8}"
3,0.7708333333333334,"{'prompt_type': 'religion', 'num_sents': 500, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.3999999999999999}"
4,0.7825,"{'prompt_type': 'race', 'num_sents': 400, 'items': 'inclusive, bigoted', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.8}"
5,0.7983333333333333,"{'prompt_type': 'age', 'num_sents': 450, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': 1.2000000000000002}"
6,0.7733333333333333,"{'prompt_type': 'age', 'num_sents': 450, 'items': 'progressive, conservative', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.8}"
7,0.7408333333333333,"{'prompt_type': 'generic', 'num_sents': 100, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 2.0}"
8,0.7725,"{'prompt_type': 'genericqa', 'num_sents': 300, 'items': 'woke, racist and sexist', 'system_prompt': 'Pretend you are very ', 'coeff': -0.5999999999999999}"
9,0.7783333333333333,"{'prompt_type': 'generic', 'num_sents': 150, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.0}"
10,0.7891666666666667,"{'prompt_type': 'socioeconomic', 'num_sents': 500, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': 0.8000000000000003}"
11,0.7908333333333334,"{'prompt_type': 'socioeconomic', 'num_sents': 500, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': 0.8000000000000003}"
12,0.7783333333333333,"{'prompt_type': 'starters', 'num_sents': 400, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': 1.0}"
13,0.8066666666666666,"{'prompt_type': 'socioeconomic', 'num_sents': 500, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': 1.8000000000000003}"
14,0.8033333333333333,"{'prompt_type': 'gender', 'num_sents': 400, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.8000000000000003}"
15,0.8041666666666667,"{'prompt_type': 'gender', 'num_sents': 400, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0}"
16,0.7808333333333334,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.20000000000000018}"
17,0.7666666666666667,"{'prompt_type': 'gender', 'num_sents': 450, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
18,0.7691666666666667,"{'prompt_type': 'sexuality', 'num_sents': 350, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
19,0.7808333333333334,"{'prompt_type': 'socioeconomic', 'num_sents': 250, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.40000000000000036}"
20,0.7675,"{'prompt_type': 'gender', 'num_sents': 450, 'items': 'multicultural, xenophobic', 'system_prompt': 'Pretend you are very ', 'coeff': -1.2}"
