Trial,Accuracy (BBQ),Params
0,0.6825,"{'prompt_type': 'age', 'num_sents': 300, 'items': 'humanitarian, oppressive', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.6}"
1,0.7325,"{'prompt_type': 'genericqa', 'num_sents': 200, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999}"
2,0.7583333333333333,"{'prompt_type': 'sexuality', 'num_sents': 400, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.6}"
3,0.725,"{'prompt_type': 'religion', 'num_sents': 200, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.7999999999999998}"
4,0.7591666666666667,"{'prompt_type': 'race', 'num_sents': 400, 'items': 'multicultural, xenophobic', 'system_prompt': 'Pretend you are very ', 'coeff': 0.0}"
5,0.4141666666666667,"{'prompt_type': 'race', 'num_sents': 300, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': -1.8}"
6,0.765,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'multicultural, xenophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.20000000000000018}"
7,0.7425,"{'prompt_type': 'disability', 'num_sents': 150, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.2000000000000002}"
8,0.6833333333333333,"{'prompt_type': 'sexuality', 'num_sents': 400, 'items': 'liberal, authoritarian', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.2}"
9,0.7433333333333333,"{'prompt_type': 'sexuality', 'num_sents': 150, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': 1.8000000000000003}"
10,0.7408333333333333,"{'prompt_type': 'gender', 'num_sents': 500, 'items': 'multicultural, xenophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.6000000000000001}"
11,0.7633333333333333,"{'prompt_type': 'socioeconomic', 'num_sents': 400, 'items': 'multicultural, xenophobic', 'system_prompt': 'Pretend you are very ', 'coeff': 0.20000000000000018}"
12,0.7625,"{'prompt_type': 'socioeconomic', 'num_sents': 500, 'items': 'multicultural, xenophobic', 'system_prompt': 'Pretend you are very ', 'coeff': 0.20000000000000018}"
13,0.775,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.6000000000000001}"
14,0.7775,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
15,0.7775,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
16,0.7616666666666667,"{'prompt_type': 'generic', 'num_sents': 250, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
17,0.7525,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
18,0.76,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0}"
19,0.7758333333333334,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'inclusive, bigoted', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
20,0.7166666666666667,"{'prompt_type': 'age', 'num_sents': 200, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.8000000000000003}"
21,0.7716666666666666,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'inclusive, bigoted', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
22,0.775,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'inclusive, bigoted', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
23,0.7808333333333334,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.8000000000000003}"
24,0.7541666666666667,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.6000000000000001}"
25,0.7466666666666667,"{'prompt_type': 'genericqa', 'num_sents': 350, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.19999999999999996}"
26,0.7758333333333334,"{'prompt_type': 'gender', 'num_sents': 450, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
27,0.7516666666666667,"{'prompt_type': 'starters', 'num_sents': 350, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.3999999999999999}"
28,0.7583333333333333,"{'prompt_type': 'religion', 'num_sents': 150, 'items': 'progressive, conservative', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.40000000000000036}"
29,0.7208333333333333,"{'prompt_type': 'age', 'num_sents': 300, 'items': 'humanitarian, oppressive', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.8000000000000003}"
30,0.7716666666666666,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
31,0.7758333333333334,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'inclusive, bigoted', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
32,0.06333333333333334,"{'prompt_type': 'disability', 'num_sents': 200, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0}"
33,0.7666666666666667,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
34,0.6666666666666666,"{'prompt_type': 'genericqa', 'num_sents': 200, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
35,0.78,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
36,0.7241666666666666,"{'prompt_type': 'religion', 'num_sents': 200, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.8000000000000003}"
