Trial,Accuracy (BBQ),Params
0,0.511,"{'prompt_type': 'generic', 'num_sents': 250, 'items': 'feminist, misogynistic', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.4, 'control_method': 'pca_diff', 'start_layer': -2, 'end_layer': -7}"
1,0.499,"{'prompt_type': 'gender', 'num_sents': 200, 'items': 'gender inclusive, a woman hater', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.5999999999999999, 'control_method': 'pca_diff', 'start_layer': -3, 'end_layer': -9}"
2,0.501,"{'prompt_type': 'starters', 'num_sents': 500, 'items': 'feminist, a woman hater', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.20000000000000018, 'control_method': 'pca_diff', 'start_layer': -2, 'end_layer': -16}"
3,0.529,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'feminist, misogynistic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.3999999999999999, 'control_method': 'pca_center', 'start_layer': -5, 'end_layer': -16}"
4,0.497,"{'prompt_type': 'gender', 'num_sents': 150, 'items': 'gender inclusive, a woman hater', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002, 'control_method': 'pca_center', 'start_layer': -4, 'end_layer': -11}"
5,0.521,"{'prompt_type': 'generic', 'num_sents': 200, 'items': 'gender inclusive, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.4, 'control_method': 'pca_diff', 'start_layer': -1, 'end_layer': -14}"
6,0.0,"{'prompt_type': 'gender', 'num_sents': 350, 'items': 'feminist, sexist', 'system_prompt': 'Imagine you are very ', 'coeff': -1.8, 'control_method': 'pca_diff', 'start_layer': -5, 'end_layer': -17}"
7,0.489,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'gender inclusive, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.8000000000000003, 'control_method': 'pca_diff', 'start_layer': -3, 'end_layer': -18}"
8,0.494,"{'prompt_type': 'generic', 'num_sents': 500, 'items': 'feminist, misogynistic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6, 'control_method': 'pca_center', 'start_layer': -3, 'end_layer': -13}"
9,0.539,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.6, 'control_method': 'pca_center', 'start_layer': -1, 'end_layer': -17}"
