Trial,Accuracy (BBQ),Params
0,0.7535326086956522,"{'prompt_type': 'race', 'num_sents': 400, 'items': 'feminist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.2000000000000002}"
1,0.7611413043478261,"{'prompt_type': 'sexuality', 'num_sents': 200, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': 1.0}"
2,0.7323369565217391,"{'prompt_type': 'disability', 'num_sents': 150, 'items': 'inclusive, bigoted', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.2}"
3,0.7646739130434783,"{'prompt_type': 'religion', 'num_sents': 300, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': 1.4000000000000004}"
4,0.7353260869565217,"{'prompt_type': 'gender', 'num_sents': 200, 'items': 'liberal, authoritarian', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.2}"
5,0.70625,"{'prompt_type': 'religion', 'num_sents': 500, 'items': 'progressive, conservative', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.6}"
6,0.7010869565217391,"{'prompt_type': 'socioeconomic', 'num_sents': 350, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.4}"
7,0.7432065217391305,"{'prompt_type': 'genericqa', 'num_sents': 350, 'items': 'progressive, conservative', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.0}"
8,0.7497282608695652,"{'prompt_type': 'age', 'num_sents': 400, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.8000000000000003}"
9,0.7847826086956522,"{'prompt_type': 'socioeconomic', 'num_sents': 350, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 1.8000000000000003}"
10,0.7739130434782608,"{'prompt_type': 'starters', 'num_sents': 500, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 2.0}"
11,0.7736413043478261,"{'prompt_type': 'starters', 'num_sents': 500, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 2.0}"
12,0.7635869565217391,"{'prompt_type': 'generic', 'num_sents': 450, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 2.0}"
13,0.74375,"{'prompt_type': 'socioeconomic', 'num_sents': 250, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Pretend you are very ', 'coeff': 0.20000000000000018}"
14,0.7426630434782608,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.19999999999999996}"
15,0.7752717391304348,"{'prompt_type': 'socioeconomic', 'num_sents': 450, 'items': 'woke, racist and sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 1.6}"
16,0.7565217391304347,"{'prompt_type': 'socioeconomic', 'num_sents': 400, 'items': 'woke, racist and sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 0.6000000000000001}"
17,0.7309782608695652,"{'prompt_type': 'socioeconomic', 'num_sents': 300, 'items': 'woke, racist and sexist', 'system_prompt': 'Pretend you are very ', 'coeff': -0.5999999999999999}"
18,0.7565217391304347,"{'prompt_type': 'socioeconomic', 'num_sents': 450, 'items': 'humanitarian, oppressive', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
19,0.7660326086956522,"{'prompt_type': 'sexuality', 'num_sents': 350, 'items': 'multicultural, xenophobic', 'system_prompt': 'Pretend you are very ', 'coeff': 1.6}"
20,0.7182065217391305,"{'prompt_type': 'age', 'num_sents': 450, 'items': 'woke, racist and sexist', 'system_prompt': 'Pretend you are very ', 'coeff': -2.0}"
21,0.7701086956521739,"{'prompt_type': 'starters', 'num_sents': 500, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 1.8000000000000003}"
22,0.8002717391304348,"{'prompt_type': 'disability', 'num_sents': 450, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 1.6}"
23,0.7497282608695652,"{'prompt_type': 'disability', 'num_sents': 400, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': 0.6000000000000001}"
24,0.7760869565217391,"{'prompt_type': 'disability', 'num_sents': 450, 'items': 'inclusive, bigoted', 'system_prompt': 'Pretend you are very ', 'coeff': 1.6}"
25,0.7573369565217392,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'inclusive, bigoted', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
26,0.7804347826086957,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'inclusive, bigoted', 'system_prompt': 'Pretend you are very ', 'coeff': 1.6}"
27,0.7421195652173913,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'liberal, authoritarian', 'system_prompt': 'Pretend you are very ', 'coeff': 0.40000000000000036}"
28,0.7646739130434783,"{'prompt_type': 'race', 'num_sents': 350, 'items': 'respectful, derogatory', 'system_prompt': 'Pretend you are very ', 'coeff': 1.2000000000000002}"
29,0.7470108695652173,"{'prompt_type': 'gender', 'num_sents': 400, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
30,0.7673913043478261,"{'prompt_type': 'generic', 'num_sents': 250, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Pretend you are very ', 'coeff': 1.8000000000000003}"
31,0.7782608695652173,"{'prompt_type': 'disability', 'num_sents': 400, 'items': 'inclusive, bigoted', 'system_prompt': 'Pretend you are very ', 'coeff': 1.6}"
32,0.7692934782608696,"{'prompt_type': 'disability', 'num_sents': 400, 'items': 'inclusive, bigoted', 'system_prompt': 'Pretend you are very ', 'coeff': 1.2000000000000002}"
33,0.7605978260869565,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': 1.0}"
34,0.7652173913043478,"{'prompt_type': 'genericqa', 'num_sents': 400, 'items': 'inclusive, bigoted', 'system_prompt': 'Pretend you are very ', 'coeff': 1.4000000000000004}"
35,0.7796195652173913,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'inclusive, bigoted', 'system_prompt': 'Pretend you are very ', 'coeff': 1.6}"
36,0.7307065217391304,"{'prompt_type': 'race', 'num_sents': 300, 'items': 'humanitarian, oppressive', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.5999999999999999}"
37,0.725,"{'prompt_type': 'sexuality', 'num_sents': 200, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 1.8000000000000003}"
38,0.758695652173913,"{'prompt_type': 'religion', 'num_sents': 350, 'items': 'multicultural, xenophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.8000000000000003}"
39,0.7730978260869565,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'inclusive, bigoted', 'system_prompt': 'Pretend you are very ', 'coeff': 1.4000000000000004}"
40,0.7692934782608696,"{'prompt_type': 'gender', 'num_sents': 350, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': 1.0}"
41,0.7779891304347826,"{'prompt_type': 'disability', 'num_sents': 400, 'items': 'inclusive, bigoted', 'system_prompt': 'Pretend you are very ', 'coeff': 1.6}"
42,0.7858695652173913,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'inclusive, bigoted', 'system_prompt': 'Pretend you are very ', 'coeff': 2.0}"
43,0.7804347826086957,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Pretend you are very ', 'coeff': 2.0}"
