Trial,Accuracy (BBQ),Params
0,0.0,"{'prompt_type': 'generic', 'num_sents': 500, 'items': 'respectful, derogatory', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 2.0}"
1,0.4548611111111111,"{'prompt_type': 'age', 'num_sents': 400, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.7999999999999998}"
2,0.2974537037037037,"{'prompt_type': 'gender', 'num_sents': 200, 'items': 'inclusive, bigoted', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.2}"
3,0.48726851851851855,"{'prompt_type': 'sexuality', 'num_sents': 250, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.19999999999999996}"
4,0.009259259259259259,"{'prompt_type': 'religion', 'num_sents': 150, 'items': 'humanitarian, oppressive', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.8}"
5,0.5567129629629629,"{'prompt_type': 'generic', 'num_sents': 200, 'items': 'liberal, authoritarian', 'system_prompt': 'Pretend you are very ', 'coeff': -1.4}"
6,0.5127314814814815,"{'prompt_type': 'sexuality', 'num_sents': 100, 'items': 'liberal, authoritarian', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.40000000000000036}"
7,0.4756944444444444,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
8,0.42592592592592593,"{'prompt_type': 'generic', 'num_sents': 300, 'items': 'respectful, derogatory', 'system_prompt': 'Pretend you are very ', 'coeff': 2.0}"
9,0.5497685185185185,"{'prompt_type': 'socioeconomic', 'num_sents': 350, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Pretend you are very ', 'coeff': 1.0}"
10,0.05324074074074074,"{'prompt_type': 'race', 'num_sents': 450, 'items': 'liberal, authoritarian', 'system_prompt': 'Pretend you are very ', 'coeff': -2.0}"
11,0.5497685185185185,"{'prompt_type': 'socioeconomic', 'num_sents': 350, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Pretend you are very ', 'coeff': 1.0}"
12,0.49074074074074076,"{'prompt_type': 'genericqa', 'num_sents': 300, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': 0.0}"
13,0.6064814814814815,"{'prompt_type': 'socioeconomic', 'num_sents': 250, 'items': 'multicultural, xenophobic', 'system_prompt': 'Pretend you are very ', 'coeff': 1.0}"
14,0.42939814814814814,"{'prompt_type': 'disability', 'num_sents': 200, 'items': 'multicultural, xenophobic', 'system_prompt': 'Pretend you are very ', 'coeff': -0.7999999999999998}"
