Trial,Accuracy (BBQ),Params
0,0.2570694087403599,"{'prompt_type': 'genericqa', 'num_sents': 150, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': 1.4000000000000004}"
1,0.06619537275064268,"{'prompt_type': 'race', 'num_sents': 450, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 2.0}"
2,0.2802056555269923,"{'prompt_type': 'religion', 'num_sents': 450, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.0}"
3,0.256426735218509,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'inclusive, bigoted', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.6}"
4,0.2352185089974293,"{'prompt_type': 'socioeconomic', 'num_sents': 250, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.8000000000000003}"
5,0.0006426735218508997,"{'prompt_type': 'age', 'num_sents': 450, 'items': 'inclusive, bigoted', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.6}"
6,0.2660668380462725,"{'prompt_type': 'socioeconomic', 'num_sents': 200, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': -0.5999999999999999}"
7,0.26735218508997427,"{'prompt_type': 'sexuality', 'num_sents': 100, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 1.2000000000000002}"
8,0.2853470437017995,"{'prompt_type': 'religion', 'num_sents': 250, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.6000000000000001}"
9,0.27249357326478146,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Pretend you are very ', 'coeff': -1.8}"
10,0.2660668380462725,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.6000000000000001}"
11,0.2731362467866324,"{'prompt_type': 'religion', 'num_sents': 500, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.19999999999999996}"
12,0.2744215938303342,"{'prompt_type': 'religion', 'num_sents': 300, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.40000000000000036}"
13,0.2506426735218509,"{'prompt_type': 'religion', 'num_sents': 350, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.7999999999999998}"
14,0.15359897172236503,"{'prompt_type': 'gender', 'num_sents': 250, 'items': 'progressive, conservative', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.8000000000000003}"
15,0.2802056555269923,"{'prompt_type': 'religion', 'num_sents': 400, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.0}"
16,0.060411311053984576,"{'prompt_type': 'religion', 'num_sents': 500, 'items': 'multicultural, xenophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.0}"
17,0.2384318766066838,"{'prompt_type': 'generic', 'num_sents': 250, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
18,0.2744215938303342,"{'prompt_type': 'race', 'num_sents': 300, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.20000000000000018}"
19,0.2647814910025707,"{'prompt_type': 'age', 'num_sents': 400, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.3999999999999999}"
20,0.11053984575835475,"{'prompt_type': 'genericqa', 'num_sents': 200, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.2}"
21,0.2802056555269923,"{'prompt_type': 'religion', 'num_sents': 400, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.0}"
22,0.2718508997429306,"{'prompt_type': 'religion', 'num_sents': 450, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.20000000000000018}"
23,0.2769922879177378,"{'prompt_type': 'religion', 'num_sents': 400, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.19999999999999996}"
24,0.27892030848329047,"{'prompt_type': 'starters', 'num_sents': 500, 'items': 'humanitarian, oppressive', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.6000000000000001}"
25,0.2737789203084833,"{'prompt_type': 'disability', 'num_sents': 400, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.20000000000000018}"
26,0.2596401028277635,"{'prompt_type': 'sexuality', 'num_sents': 350, 'items': 'accepting, prejudiced', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
27,0.2969151670951157,"{'prompt_type': 'gender', 'num_sents': 450, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.3999999999999999}"
28,0.3380462724935733,"{'prompt_type': 'gender', 'num_sents': 300, 'items': 'progressive, conservative', 'system_prompt': 'Pretend you are very ', 'coeff': -1.4}"
29,0.34704370179948585,"{'prompt_type': 'gender', 'num_sents': 200, 'items': 'progressive, conservative', 'system_prompt': 'Pretend you are very ', 'coeff': -1.4}"
