Trial,Accuracy (BBQ),Params
0,0.8859011627906976,"{'prompt_type': 'race', 'num_sents': 250, 'items': 'not racist, racist', 'system_prompt': 'Pretend you are really ', 'coeff': -0.7999999999999998, 'start_layer': -1, 'end_layer': -8}"
1,0.8863372093023256,"{'prompt_type': 'race', 'num_sents': 350, 'items': 'love Black people, hate Black people', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.0, 'start_layer': -2, 'end_layer': -10}"
2,0.8710755813953488,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'love Black people, hate Black people', 'system_prompt': 'Imagine you are very ', 'coeff': 1.4000000000000004, 'start_layer': -3, 'end_layer': -13}"
3,0.8854651162790698,"{'prompt_type': 'race', 'num_sents': 350, 'items': 'not racist, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.7999999999999998, 'start_layer': -3, 'end_layer': -13}"
4,0.876453488372093,"{'prompt_type': 'race', 'num_sents': 400, 'items': 'woke, racist', 'system_prompt': 'Imagine you are very ', 'coeff': 1.8000000000000003, 'start_layer': -2, 'end_layer': -12}"
5,0.8902616279069767,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'love Black people, hate Black people', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.5999999999999999, 'start_layer': -4, 'end_layer': -16}"
6,0.8911337209302326,"{'prompt_type': 'starters', 'num_sents': 350, 'items': 'anti-racist, racist', 'system_prompt': 'Pretend you are really ', 'coeff': -1.0, 'start_layer': -4, 'end_layer': -16}"
7,0.8888081395348837,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'anti-racist, racist', 'system_prompt': 'Pretend you are really ', 'coeff': -1.4, 'start_layer': -2, 'end_layer': -10}"
8,0.8879360465116279,"{'prompt_type': 'generic', 'num_sents': 150, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Pretend you are really ', 'coeff': -0.7999999999999998, 'start_layer': -1, 'end_layer': -9}"
9,0.8859011627906976,"{'prompt_type': 'starters', 'num_sents': 500, 'items': 'not racist, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.0, 'start_layer': -4, 'end_layer': -15}"
10,0.7965116279069767,"{'prompt_type': 'generic', 'num_sents': 500, 'items': 'anti-racist, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -2.0, 'start_layer': -5, 'end_layer': -18}"
11,0.8844476744186046,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'anti-racist, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.40000000000000036, 'start_layer': -5, 'end_layer': -18}"
12,0.879796511627907,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'love Black people, hate Black people', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.6000000000000001, 'start_layer': -4, 'end_layer': -16}"
13,0.8803779069767442,"{'prompt_type': 'starters', 'num_sents': 400, 'items': 'woke, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.8, 'start_layer': -4, 'end_layer': -16}"
14,0.8876453488372092,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Pretend you are really ', 'coeff': -0.19999999999999996, 'start_layer': -4, 'end_layer': -15}"
15,0.8879360465116279,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'anti-racist, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.19999999999999996, 'start_layer': -5, 'end_layer': -14}"
16,0.8864825581395349,"{'prompt_type': 'generic', 'num_sents': 100, 'items': 'love Black people, hate Black people', 'system_prompt': 'Pretend you are really ', 'coeff': -1.2, 'start_layer': -3, 'end_layer': -6}"
17,0.8800872093023255,"{'prompt_type': 'starters', 'num_sents': 450, 'items': 'anti-racist, racist', 'system_prompt': 'Imagine you are very ', 'coeff': 0.8000000000000003, 'start_layer': -4, 'end_layer': -17}"
18,0.8883720930232558,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'love Black people, hate Black people', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.3999999999999999, 'start_layer': -5, 'end_layer': -16}"
19,0.8854651162790698,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'woke, racist', 'system_prompt': 'Pretend you are really ', 'coeff': -1.6, 'start_layer': -4, 'end_layer': -14}"
20,0.8873546511627907,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'love Black people, hate Black people', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.5999999999999999, 'start_layer': -3, 'end_layer': -18}"
21,0.8905523255813953,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'anti-racist, racist', 'system_prompt': 'Pretend you are really ', 'coeff': -1.4, 'start_layer': -2, 'end_layer': -11}"
22,0.8924418604651163,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'anti-racist, racist', 'system_prompt': 'Pretend you are really ', 'coeff': -1.2, 'start_layer': -2, 'end_layer': -12}"
23,0.8905523255813953,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'anti-racist, racist', 'system_prompt': 'Pretend you are really ', 'coeff': -1.4, 'start_layer': -2, 'end_layer': -11}"
24,0.8920058139534883,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'anti-racist, racist', 'system_prompt': 'Pretend you are really ', 'coeff': -1.2, 'start_layer': -1, 'end_layer': -12}"
25,0.8954941860465117,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'anti-racist, racist', 'system_prompt': 'Pretend you are really ', 'coeff': -2.0, 'start_layer': -1, 'end_layer': -12}"
26,0.8952034883720931,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'anti-racist, racist', 'system_prompt': 'Pretend you are really ', 'coeff': -2.0, 'start_layer': -1, 'end_layer': -12}"
