Trial,Accuracy (BBQ),Params
0,0.0,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -2.0}"
1,0.5869289340101523,"{'prompt_type': 'socioeconomic', 'num_sents': 150, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.4000000000000004}"
2,0.5184010152284264,"{'prompt_type': 'sexuality', 'num_sents': 100, 'items': 'progressive, conservative', 'system_prompt': 'Pretend you are very ', 'coeff': -0.19999999999999996}"
3,0.48413705583756345,"{'prompt_type': 'sexuality', 'num_sents': 250, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.7999999999999998}"
4,0.5348984771573604,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'multicultural, xenophobic', 'system_prompt': 'Pretend you are very ', 'coeff': 1.2000000000000002}"
5,0.5114213197969543,"{'prompt_type': 'disability', 'num_sents': 100, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': -0.3999999999999999}"
6,0.5285532994923858,"{'prompt_type': 'socioeconomic', 'num_sents': 450, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Pretend you are very ', 'coeff': 1.6}"
7,0.5875634517766497,"{'prompt_type': 'genericqa', 'num_sents': 400, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': 0.8000000000000003}"
8,0.5228426395939086,"{'prompt_type': 'race', 'num_sents': 150, 'items': 'progressive, conservative', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.19999999999999996}"
9,0.5393401015228426,"{'prompt_type': 'sexuality', 'num_sents': 150, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Pretend you are very ', 'coeff': 0.40000000000000036}"
10,0.5761421319796954,"{'prompt_type': 'genericqa', 'num_sents': 500, 'items': 'humanitarian, oppressive', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.6000000000000001}"
11,0.5729695431472082,"{'prompt_type': 'socioeconomic', 'num_sents': 400, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 2.0}"
12,0.5253807106598984,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
13,0.5831218274111675,"{'prompt_type': 'genericqa', 'num_sents': 350, 'items': 'inclusive, bigoted', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 2.0}"
14,0.6104060913705583,"{'prompt_type': 'age', 'num_sents': 200, 'items': 'humanitarian, oppressive', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.0}"
15,0.574238578680203,"{'prompt_type': 'age', 'num_sents': 250, 'items': 'humanitarian, oppressive', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.6000000000000001}"
16,0.4600253807106599,"{'prompt_type': 'age', 'num_sents': 500, 'items': 'feminist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.0}"
17,0.5342639593908629,"{'prompt_type': 'gender', 'num_sents': 400, 'items': 'humanitarian, oppressive', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.20000000000000018}"
18,0.5843908629441624,"{'prompt_type': 'religion', 'num_sents': 200, 'items': 'respectful, derogatory', 'system_prompt': 'Pretend you are very ', 'coeff': 0.8000000000000003}"
19,0.4498730964467005,"{'prompt_type': 'age', 'num_sents': 300, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
20,0.0,"{'prompt_type': 'genericqa', 'num_sents': 400, 'items': 'humanitarian, oppressive', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -2.0}"
21,0.5862944162436549,"{'prompt_type': 'socioeconomic', 'num_sents': 200, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.4000000000000004}"
22,0.5456852791878173,"{'prompt_type': 'gender', 'num_sents': 150, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.0}"
23,0.3096446700507614,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'humanitarian, oppressive', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.6}"
24,0.47652284263959394,"{'prompt_type': 'religion', 'num_sents': 100, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.2000000000000002}"
25,0.5203045685279187,"{'prompt_type': 'generic', 'num_sents': 150, 'items': 'respectful, derogatory', 'system_prompt': 'Pretend you are very ', 'coeff': 0.20000000000000018}"
26,0.5539340101522843,"{'prompt_type': 'race', 'num_sents': 350, 'items': 'multicultural, xenophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.8000000000000003}"
27,0.5736040609137056,"{'prompt_type': 'age', 'num_sents': 450, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.8000000000000003}"
28,0.6199238578680203,"{'prompt_type': 'genericqa', 'num_sents': 200, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
29,0.5552030456852792,"{'prompt_type': 'genericqa', 'num_sents': 350, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.40000000000000036}"
30,0.6148477157360406,"{'prompt_type': 'genericqa', 'num_sents': 250, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
31,0.6148477157360406,"{'prompt_type': 'genericqa', 'num_sents': 250, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
32,0.6173857868020305,"{'prompt_type': 'genericqa', 'num_sents': 250, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
33,0.616751269035533,"{'prompt_type': 'genericqa', 'num_sents': 250, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
34,0.6034263959390863,"{'prompt_type': 'genericqa', 'num_sents': 300, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
35,0.616751269035533,"{'prompt_type': 'genericqa', 'num_sents': 250, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
36,0.3534263959390863,"{'prompt_type': 'genericqa', 'num_sents': 200, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.8000000000000003}"
37,0.6192893401015228,"{'prompt_type': 'genericqa', 'num_sents': 300, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
38,0.5139593908629442,"{'prompt_type': 'generic', 'num_sents': 300, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.7999999999999998}"
39,0.5336294416243654,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'accepting, prejudiced', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
40,0.35406091370558374,"{'prompt_type': 'genericqa', 'num_sents': 250, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.8000000000000003}"
41,0.616751269035533,"{'prompt_type': 'genericqa', 'num_sents': 250, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
42,0.6034263959390863,"{'prompt_type': 'genericqa', 'num_sents': 300, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
43,0.5875634517766497,"{'prompt_type': 'sexuality', 'num_sents': 200, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
44,0.5697969543147208,"{'prompt_type': 'genericqa', 'num_sents': 250, 'items': 'inclusive, bigoted', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
45,0.5951776649746193,"{'prompt_type': 'genericqa', 'num_sents': 350, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.6000000000000001}"
46,0.5888324873096447,"{'prompt_type': 'race', 'num_sents': 200, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.8000000000000003}"
47,0.5190355329949239,"{'prompt_type': 'genericqa', 'num_sents': 300, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.19999999999999996}"
48,0.5361675126903553,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.40000000000000036}"
49,0.3864213197969543,"{'prompt_type': 'genericqa', 'num_sents': 100, 'items': 'multicultural, xenophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.8}"
28,0.6199238578680203,"{'prompt_type': 'genericqa', 'num_sents': 200, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
