Trial,Accuracy (BBQ),Params
0,0.24421296296296297,"{'prompt_type': 'genericqa', 'num_sents': 200, 'items': 'feminist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.40000000000000036}"
1,0.30092592592592593,"{'prompt_type': 'sexuality', 'num_sents': 200, 'items': 'accepting, prejudiced', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
2,0.2569444444444444,"{'prompt_type': 'genericqa', 'num_sents': 350, 'items': 'multicultural, xenophobic', 'system_prompt': 'Pretend you are very ', 'coeff': -0.3999999999999999}"
3,0.25462962962962965,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'humanitarian, oppressive', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
4,0.3425925925925926,"{'prompt_type': 'age', 'num_sents': 200, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
5,0.24189814814814814,"{'prompt_type': 'sexuality', 'num_sents': 300, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.4}"
6,0.12268518518518519,"{'prompt_type': 'religion', 'num_sents': 250, 'items': 'multicultural, xenophobic', 'system_prompt': 'Pretend you are very ', 'coeff': -0.7999999999999998}"
7,0.25578703703703703,"{'prompt_type': 'generic', 'num_sents': 300, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.8000000000000003}"
8,0.28125,"{'prompt_type': 'genericqa', 'num_sents': 450, 'items': 'progressive, conservative', 'system_prompt': 'Pretend you are very ', 'coeff': -0.3999999999999999}"
9,0.26967592592592593,"{'prompt_type': 'socioeconomic', 'num_sents': 500, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': 0.6000000000000001}"
10,0.33101851851851855,"{'prompt_type': 'age', 'num_sents': 100, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0}"
11,0.3263888888888889,"{'prompt_type': 'age', 'num_sents': 100, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.8000000000000003}"
12,0.33101851851851855,"{'prompt_type': 'age', 'num_sents': 100, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0}"
13,0.34953703703703703,"{'prompt_type': 'age', 'num_sents': 150, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
14,0.2835648148148148,"{'prompt_type': 'race', 'num_sents': 150, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
15,0.003472222222222222,"{'prompt_type': 'disability', 'num_sents': 200, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': -2.0}"
16,0.22685185185185186,"{'prompt_type': 'age', 'num_sents': 400, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.4000000000000004}"
17,0.27199074074074076,"{'prompt_type': 'gender', 'num_sents': 150, 'items': 'inclusive, bigoted', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.20000000000000018}"
18,0.25925925925925924,"{'prompt_type': 'age', 'num_sents': 150, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
19,0.25925925925925924,"{'prompt_type': 'race', 'num_sents': 250, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.0}"
20,0.36921296296296297,"{'prompt_type': 'gender', 'num_sents': 350, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
21,0.36921296296296297,"{'prompt_type': 'gender', 'num_sents': 350, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
22,0.3680555555555556,"{'prompt_type': 'gender', 'num_sents': 350, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
23,0.2800925925925926,"{'prompt_type': 'gender', 'num_sents': 350, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.8000000000000003}"
24,0.3460648148148148,"{'prompt_type': 'gender', 'num_sents': 400, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.8000000000000003}"
25,0.23958333333333334,"{'prompt_type': 'gender', 'num_sents': 350, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
26,0.2650462962962963,"{'prompt_type': 'gender', 'num_sents': 400, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
27,0.21643518518518517,"{'prompt_type': 'gender', 'num_sents': 450, 'items': 'humanitarian, oppressive', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0}"
28,0.19212962962962962,"{'prompt_type': 'gender', 'num_sents': 350, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.6}"
29,0.26157407407407407,"{'prompt_type': 'socioeconomic', 'num_sents': 300, 'items': 'respectful, derogatory', 'system_prompt': 'Pretend you are very ', 'coeff': 0.40000000000000036}"
30,0.2743055555555556,"{'prompt_type': 'starters', 'num_sents': 450, 'items': 'inclusive, bigoted', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.6000000000000001}"
31,0.28703703703703703,"{'prompt_type': 'disability', 'num_sents': 400, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
32,0.36921296296296297,"{'prompt_type': 'religion', 'num_sents': 350, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
33,0.3599537037037037,"{'prompt_type': 'religion', 'num_sents': 300, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
34,0.33449074074074076,"{'prompt_type': 'religion', 'num_sents': 350, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.8000000000000003}"
35,0.29398148148148145,"{'prompt_type': 'religion', 'num_sents': 300, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
