Trial,Accuracy (BBQ),Params
0,0.8449074074074074,"{'prompt_type': 'gender', 'num_sents': 250, 'items': 'respectful, derogatory', 'system_prompt': 'Pretend you are very ', 'coeff': -2.0}"
1,0.8495370370370371,"{'prompt_type': 'race', 'num_sents': 200, 'items': 'feminist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.20000000000000018}"
2,0.8495370370370371,"{'prompt_type': 'sexuality', 'num_sents': 350, 'items': 'feminist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.8000000000000003}"
3,0.8518518518518519,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -0.7999999999999998}"
4,0.8483796296296297,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.3999999999999999}"
5,0.8622685185185185,"{'prompt_type': 'gender', 'num_sents': 500, 'items': 'liberal, authoritarian', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.8000000000000003}"
6,0.8402777777777778,"{'prompt_type': 'religion', 'num_sents': 450, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
7,0.8368055555555556,"{'prompt_type': 'socioeconomic', 'num_sents': 150, 'items': 'respectful, derogatory', 'system_prompt': 'Pretend you are very ', 'coeff': 1.0}"
8,0.8483796296296297,"{'prompt_type': 'age', 'num_sents': 500, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -0.5999999999999999}"
9,0.8472222222222222,"{'prompt_type': 'gender', 'num_sents': 500, 'items': 'respectful, derogatory', 'system_prompt': 'Pretend you are very ', 'coeff': -1.8}"
10,0.7916666666666666,"{'prompt_type': 'starters', 'num_sents': 400, 'items': 'liberal, authoritarian', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 2.0}"
11,0.8414351851851852,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.4}"
12,0.8495370370370371,"{'prompt_type': 'genericqa', 'num_sents': 100, 'items': 'progressive, conservative', 'system_prompt': 'Pretend you are very ', 'coeff': 0.40000000000000036}"
13,0.8483796296296297,"{'prompt_type': 'disability', 'num_sents': 400, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.7999999999999998}"
14,0.8472222222222222,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'accepting, prejudiced', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.2}"
15,0.8657407407407407,"{'prompt_type': 'gender', 'num_sents': 450, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': 0.8000000000000003}"
16,0.8645833333333334,"{'prompt_type': 'gender', 'num_sents': 450, 'items': 'humanitarian, oppressive', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.2000000000000002}"
17,0.8564814814814815,"{'prompt_type': 'gender', 'num_sents': 450, 'items': 'humanitarian, oppressive', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.8000000000000003}"
18,0.8564814814814815,"{'prompt_type': 'gender', 'num_sents': 450, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': 0.6000000000000001}"
19,0.8576388888888888,"{'prompt_type': 'religion', 'num_sents': 400, 'items': 'humanitarian, oppressive', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
20,0.8483796296296297,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'multicultural, xenophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.0}"
21,0.8611111111111112,"{'prompt_type': 'gender', 'num_sents': 500, 'items': 'inclusive, bigoted', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.6}"
22,0.8634259259259259,"{'prompt_type': 'gender', 'num_sents': 450, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.4000000000000004}"
23,0.8634259259259259,"{'prompt_type': 'gender', 'num_sents': 450, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.4000000000000004}"
24,0.8414351851851852,"{'prompt_type': 'race', 'num_sents': 400, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.8000000000000003}"
25,0.8472222222222222,"{'prompt_type': 'sexuality', 'num_sents': 450, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': 1.4000000000000004}"
26,0.8495370370370371,"{'prompt_type': 'age', 'num_sents': 400, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.40000000000000036}"
27,0.8611111111111112,"{'prompt_type': 'genericqa', 'num_sents': 350, 'items': 'humanitarian, oppressive', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.0}"
28,0.7974537037037037,"{'prompt_type': 'generic', 'num_sents': 500, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0}"
29,0.8495370370370371,"{'prompt_type': 'gender', 'num_sents': 300, 'items': 'multicultural, xenophobic', 'system_prompt': 'Pretend you are very ', 'coeff': 1.4000000000000004}"
30,0.8460648148148148,"{'prompt_type': 'socioeconomic', 'num_sents': 450, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Pretend you are very ', 'coeff': -0.19999999999999996}"
31,0.8634259259259259,"{'prompt_type': 'gender', 'num_sents': 450, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.4000000000000004}"
32,0.8645833333333334,"{'prompt_type': 'gender', 'num_sents': 450, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.6}"
33,0.8668981481481481,"{'prompt_type': 'gender', 'num_sents': 400, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.8000000000000003}"
34,0.8726851851851852,"{'prompt_type': 'gender', 'num_sents': 350, 'items': 'feminist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.8000000000000003}"
