Trial,Accuracy (BBQ),Params
0,0.5204,"{'prompt_type': 'starters', 'num_sents': 400, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.6, 'start_layer': -5, 'end_layer': -16}"
1,0.502,"{'prompt_type': 'generic', 'num_sents': 200, 'items': 'love women, hate women', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.5999999999999999, 'start_layer': -3, 'end_layer': -10}"
2,0.4582,"{'prompt_type': 'gender', 'num_sents': 100, 'items': 'not sexist, sexist', 'system_prompt': 'Pretend you are really ', 'coeff': -1.4, 'start_layer': -5, 'end_layer': -16}"
3,0.5062,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are really ', 'coeff': -1.4, 'start_layer': -5, 'end_layer': -13}"
4,0.5624,"{'prompt_type': 'generic', 'num_sents': 100, 'items': 'love women, hate women', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -2.0, 'start_layer': -5, 'end_layer': -17}"
5,0.4966,"{'prompt_type': 'gender', 'num_sents': 250, 'items': 'not sexist, sexist', 'system_prompt': 'Imagine you are very ', 'coeff': 1.4000000000000004, 'start_layer': -3, 'end_layer': -7}"
6,0.504,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'feminist, anti-feminist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.19999999999999996, 'start_layer': -2, 'end_layer': -14}"
7,0.5086,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'feminist, sexist', 'system_prompt': 'Imagine you are very ', 'coeff': 2.0, 'start_layer': -4, 'end_layer': -14}"
8,0.5046,"{'prompt_type': 'generic', 'num_sents': 150, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.7999999999999998, 'start_layer': -4, 'end_layer': -8}"
9,0.5062,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'feminist, anti-feminist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.3999999999999999, 'start_layer': -3, 'end_layer': -17}"
10,0.477,"{'prompt_type': 'generic', 'num_sents': 500, 'items': 'feminist, a woman hater', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.8000000000000003, 'start_layer': -2, 'end_layer': -18}"
11,0.5266,"{'prompt_type': 'starters', 'num_sents': 450, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.8, 'start_layer': -5, 'end_layer': -16}"
12,0.4946,"{'prompt_type': 'starters', 'num_sents': 450, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -2.0, 'start_layer': -4, 'end_layer': -11}"
13,0.5102,"{'prompt_type': 'starters', 'num_sents': 500, 'items': 'love women, hate women', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.40000000000000036, 'start_layer': -1, 'end_layer': -15}"
14,0.0018,"{'prompt_type': 'gender', 'num_sents': 250, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -2.0, 'start_layer': -5, 'end_layer': -18}"
15,0.4998,"{'prompt_type': 'generic', 'num_sents': 400, 'items': 'love women, hate women', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.0, 'start_layer': -4, 'end_layer': -12}"
16,0.499,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'feminist, a woman hater', 'system_prompt': 'Pretend you are really ', 'coeff': -2.0, 'start_layer': -5, 'end_layer': -16}"
17,0.4994,"{'prompt_type': 'generic', 'num_sents': 450, 'items': 'love women, hate women', 'system_prompt': 'Imagine you are very ', 'coeff': 0.20000000000000018, 'start_layer': -4, 'end_layer': -18}"
18,0.4988,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.0, 'start_layer': -2, 'end_layer': -14}"
19,0.5114,"{'prompt_type': 'gender', 'num_sents': 150, 'items': 'feminist, anti-feminist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.6, 'start_layer': -5, 'end_layer': -9}"
20,0.4936,"{'prompt_type': 'generic', 'num_sents': 400, 'items': 'not sexist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.2, 'start_layer': -4, 'end_layer': -15}"
21,0.5196,"{'prompt_type': 'starters', 'num_sents': 400, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.6, 'start_layer': -5, 'end_layer': -16}"
22,0.5262,"{'prompt_type': 'starters', 'num_sents': 450, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.8, 'start_layer': -5, 'end_layer': -16}"
23,0.5474,"{'prompt_type': 'starters', 'num_sents': 450, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -2.0, 'start_layer': -5, 'end_layer': -17}"
