type,model,coeff,bbq_acc,mmlu_acc
merged,mistralai/Mistral-7B-Instruct-v0.1,-5,0.417,0.449
merged,mistralai/Mistral-7B-Instruct-v0.1,-4,0.46,0.489
merged,mistralai/Mistral-7B-Instruct-v0.1,-3,0.474,0.499
merged,mistralai/Mistral-7B-Instruct-v0.1,-2,0.488,0.5
merged,mistralai/Mistral-7B-Instruct-v0.1,-1,0.508,0.501
merged,mistralai/Mistral-7B-Instruct-v0.1,0,0.536,0.501
merged,mistralai/Mistral-7B-Instruct-v0.1,1,0.569,0.501
merged,mistralai/Mistral-7B-Instruct-v0.1,2,0.61,0.494
merged,mistralai/Mistral-7B-Instruct-v0.1,3,0.65,0.486
merged,mistralai/Mistral-7B-Instruct-v0.1,4,0.682,0.473
merged,meta-llama/Llama-3.1-8B-Instruct,-5,0.648,0.534
merged,meta-llama/Llama-3.1-8B-Instruct,-4,0.674,0.547
merged,meta-llama/Llama-3.1-8B-Instruct,-3,0.698,0.555
merged,meta-llama/Llama-3.1-8B-Instruct,-2,0.721,0.564
merged,meta-llama/Llama-3.1-8B-Instruct,-1,0.741,0.57
merged,meta-llama/Llama-3.1-8B-Instruct,0,0.759,0.575
merged,meta-llama/Llama-3.1-8B-Instruct,1,0.776,0.579
merged,meta-llama/Llama-3.1-8B-Instruct,2,0.79,0.581
merged,meta-llama/Llama-3.1-8B-Instruct,3,0.802,0.583
merged,meta-llama/Llama-3.1-8B-Instruct,4,0.814,0.581
