Trial,Accuracy (BBQ),Params
0,0.0008333333333333334,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are very ', 'coeff': -1.8}"
1,0.42083333333333334,"{'prompt_type': 'socioeconomic', 'num_sents': 250, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.4}"
2,0.47583333333333333,"{'prompt_type': 'socioeconomic', 'num_sents': 100, 'items': 'inclusive, bigoted', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.3999999999999999}"
3,0.38166666666666665,"{'prompt_type': 'sexuality', 'num_sents': 200, 'items': 'liberal, authoritarian', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.4}"
4,0.5266666666666666,"{'prompt_type': 'genericqa', 'num_sents': 500, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Pretend you are very ', 'coeff': 0.20000000000000018}"
5,0.6258333333333334,"{'prompt_type': 'race', 'num_sents': 500, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.4000000000000004}"
6,0.5083333333333333,"{'prompt_type': 'age', 'num_sents': 300, 'items': 'progressive, conservative', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.19999999999999996}"
7,0.6133333333333333,"{'prompt_type': 'starters', 'num_sents': 450, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.8000000000000003}"
8,0.0525,"{'prompt_type': 'age', 'num_sents': 400, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': -2.0}"
9,0.5241666666666667,"{'prompt_type': 'religion', 'num_sents': 450, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.20000000000000018}"
10,0.64,"{'prompt_type': 'race', 'num_sents': 400, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 2.0}"
11,0.64,"{'prompt_type': 'race', 'num_sents': 400, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 2.0}"
12,0.6183333333333333,"{'prompt_type': 'race', 'num_sents': 400, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.2000000000000002}"
13,0.6291666666666667,"{'prompt_type': 'race', 'num_sents': 350, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.8000000000000003}"
14,0.5375,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.8000000000000003}"
