Trial,Accuracy (BBQ),Params
0,0.6529562982005142,"{'prompt_type': 'gender', 'num_sents': 250, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.8000000000000003}"
1,0.660025706940874,"{'prompt_type': 'sexuality', 'num_sents': 400, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.4}"
2,0.6857326478149101,"{'prompt_type': 'genericqa', 'num_sents': 300, 'items': 'inclusive, bigoted', 'system_prompt': 'Pretend you are very ', 'coeff': 0.6000000000000001}"
3,0.6812339331619537,"{'prompt_type': 'disability', 'num_sents': 100, 'items': 'multicultural, xenophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.2}"
4,0.672879177377892,"{'prompt_type': 'gender', 'num_sents': 300, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.20000000000000018}"
5,0.627892030848329,"{'prompt_type': 'genericqa', 'num_sents': 450, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
6,0.6805912596401028,"{'prompt_type': 'disability', 'num_sents': 500, 'items': 'woke, racist and sexist', 'system_prompt': 'Pretend you are very ', 'coeff': -0.19999999999999996}"
7,0.7024421593830334,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'feminist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.6000000000000001}"
8,0.5687660668380463,"{'prompt_type': 'age', 'num_sents': 500, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Pretend you are very ', 'coeff': -2.0}"
9,0.5893316195372751,"{'prompt_type': 'age', 'num_sents': 500, 'items': 'humanitarian, oppressive', 'system_prompt': 'Act as if you are extremely ', 'coeff': -2.0}"
10,0.7043701799485861,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'feminist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.8000000000000003}"
11,0.6928020565552699,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'feminist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 2.0}"
12,0.7107969151670951,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'feminist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.2000000000000002}"
13,0.712082262210797,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'feminist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.4000000000000004}"
14,0.6805912596401028,"{'prompt_type': 'generic', 'num_sents': 200, 'items': 'respectful, derogatory', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.2000000000000002}"
15,0.6696658097686375,"{'prompt_type': 'race', 'num_sents': 100, 'items': 'progressive, conservative', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.2000000000000002}"
16,0.6786632390745502,"{'prompt_type': 'religion', 'num_sents': 200, 'items': 'accepting, prejudiced', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.3999999999999999}"
