Trial,Accuracy (BBQ),Params
0,0.2848,"{'prompt_type': 'gender', 'num_sents': 150, 'items': 'respectful, derogatory', 'system_prompt': 'Pretend you are very ', 'coeff': 0.6000000000000001}"
1,0.054,"{'prompt_type': 'gender', 'num_sents': 400, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0}"
2,0.2714,"{'prompt_type': 'sexuality', 'num_sents': 250, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999}"
3,0.1054,"{'prompt_type': 'sexuality', 'num_sents': 150, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.8000000000000003}"
4,0.2658,"{'prompt_type': 'race', 'num_sents': 100, 'items': 'inclusive, bigoted', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999}"
5,0.2758,"{'prompt_type': 'race', 'num_sents': 500, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.0}"
6,0.2684,"{'prompt_type': 'genericqa', 'num_sents': 250, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.19999999999999996}"
7,0.1242,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'inclusive, bigoted', 'system_prompt': 'Pretend you are very ', 'coeff': -1.0}"
8,0.2616,"{'prompt_type': 'gender', 'num_sents': 350, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.7999999999999998}"
9,0.2708,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'progressive, conservative', 'system_prompt': 'Pretend you are very ', 'coeff': 1.0}"
10,0.0054,"{'prompt_type': 'age', 'num_sents': 200, 'items': 'respectful, derogatory', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -2.0}"
11,0.2828,"{'prompt_type': 'religion', 'num_sents': 500, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 0.6000000000000001}"
12,0.2946,"{'prompt_type': 'religion', 'num_sents': 500, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': 0.8000000000000003}"
13,0.295,"{'prompt_type': 'religion', 'num_sents': 450, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': 1.0}"
14,0.2898,"{'prompt_type': 'religion', 'num_sents': 450, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': 1.2000000000000002}"
15,0.2338,"{'prompt_type': 'religion', 'num_sents': 450, 'items': 'humanitarian, oppressive', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.4000000000000004}"
16,0.2956,"{'prompt_type': 'disability', 'num_sents': 400, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': 0.6000000000000001}"
17,0.2794,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'multicultural, xenophobic', 'system_prompt': 'Pretend you are very ', 'coeff': 0.40000000000000036}"
18,0.0002,"{'prompt_type': 'disability', 'num_sents': 400, 'items': 'woke, racist and sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 1.6}"
19,0.2792,"{'prompt_type': 'socioeconomic', 'num_sents': 400, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.20000000000000018}"
20,0.2976,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': -1.8}"
21,0.297,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': -1.8}"
22,0.3386,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': -2.0}"
23,0.339,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': -2.0}"
24,0.2564,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': -1.4}"
25,0.2556,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': -1.6}"
26,0.2378,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.2}"
27,0.0116,"{'prompt_type': 'genericqa', 'num_sents': 200, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': -2.0}"
28,0.1266,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': -1.6}"
29,0.2748,"{'prompt_type': 'socioeconomic', 'num_sents': 200, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': -1.4}"
30,0.0038,"{'prompt_type': 'age', 'num_sents': 250, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': -2.0}"
31,0.257,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': -1.8}"
32,0.2674,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': -1.6}"
33,0.2532,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': -1.2}"
34,0.0,"{'prompt_type': 'generic', 'num_sents': 300, 'items': 'liberal, authoritarian', 'system_prompt': 'Pretend you are very ', 'coeff': -1.8}"
35,0.0032,"{'prompt_type': 'sexuality', 'num_sents': 350, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Pretend you are very ', 'coeff': -1.8}"
36,0.266,"{'prompt_type': 'disability', 'num_sents': 250, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.7999999999999998}"
37,0.2968,"{'prompt_type': 'gender', 'num_sents': 200, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.4}"
38,0.0,"{'prompt_type': 'race', 'num_sents': 300, 'items': 'multicultural, xenophobic', 'system_prompt': 'Pretend you are very ', 'coeff': -2.0}"
